Policy  Name,Policy Family / Cluster ,Policy Type,Year Introduced ,Status,Jurisdiction ,Policy Summary ,Institutional Responsibility,Value Chain Stage,ESG / Due Diligence Elements,Governance & Political Economy Issues,Implementation Challenges,Stakeholders Impacted by the Policy ,Reform Priority,Links ,Source Type,Last Verified
Nigerian Minerals and Mining Act,Mining Law & Licensing,Legal Framework ,2007,In force ,Federal ,"The Nigerian Minerals and Mining Act, 2007, provides a framework for the regulation, 
administration, and incentivization of mining activities in Nigeria.
The act governs the exploration, exploitation, and management of minerals in Nigeria. 
Ownership and control of minerals, water, and related resources are vested in the state.
The exploration or exploitation of minerals requires proper authority.
Certain lands are excluded from mineral exploration and exploitation.
Priority and competitive bidding processes for mineral rights.



","The Minister of Mines and Steel Development oversees the implementation of the Act.
Establishment of the Mining Cadastre Office and its zonal offices to manage mineral titles and maintain registers.
Creation of departments such as the Mines Inspectorate Department and Mines Environmental Compliance Department.
Establishment of State Mineral Resources and Environmental Management Committees.
Regulations and delegation of powers by the Minister",Upstream,"Environmental impact requirements (weak)
 community obligations, safety measures","Elite capture of licences, 
weak enforcement and  discretionary practices","Limited inspectorate capacity, overlapping mandates with NESREA and states","Federal Government
State Governments
Mining Companies and Investors
Local Communities
Environmental Agencies
Miners and Artisanal Miners",High ,https://www.minesandsteel.gov.ng/wp-content/uploads/2016/04/Nigerian_Minerals_and_Mining_Act_2007.pdf,Legislation (Ministry of Mines & Steel Development),December 2025
Nigerian Minerals and Mining Regulations,Mining Regulation & Procedures,Regulatory ,2011,In force ,Federal ,"Federal Government of Nigeria, which holds ownership and control of all mineral resources
 in trust for the people under the Constitution (Section 44(3)) and the Nigerian Minerals and Mining Act, 2007 (NMMA).
 The Minerals and Mining Regulations 2011 establish rules to regulate the acquisition,
 operation, and management of mineral titles in Nigeria. It outlines obligations for environmental protection,
safety standards, environmental compliance, waste disposal, community compensation, 
and corporate social responsibility in mining operations. 
Establishment of the Solid Minerals Development Fund  to drive investment and growth in the mining sector","Ministry of Mines and Steel Development (MMSD)
Mining Cadastre Office (MCO)
Mines Inspectorate Department
Mines Environmental Compliance Department
Nigerian Geological Survey Agency (NGSA)
State Mineral Resources and Environmental Management Committees",Upstream,"EIA requirements, water use conditions, 
community protection provisions",Regulatory overlap,Inconsistent enforcement nationwide,"Investors, Mining Companies, ASM, 
local communities, state agencies",High ,https://nigeriaminingcadastre.gov.ng/eMC/Document/DonwloadLegal?name=Nigeria_Mining_Regulations_2011.pdf,Regulation (Ministry of Mines & Steel Development),December 2025
National Minerals & Metals Policy,Mining & Industrial Policy,Policy ,2008,In force ,Federal ,"Sector policy focusing on mineral development, geological mapping, infrastructure, beneficiation and value-addition pathways, including incentives to local investors and attracting foreign investment through favourable trade, fiscal, and monetary measures.

",,"Upstream
Midstream","Weak ESG integration; focuses more 
on economic development",Disconnect between policy intentions and licensing enforcement,"Funding constraints, outdated targets","Federal govt, private sector, downstream producers",Medium ,https://www.a-mla.org/en/country/pdf/1007,Ministry of Mines & Steel Development,December 2025
Roadmap for the Growth and Development of the Nigerian Mining Industry,Strategy,Strategic Roadmap,2016,In force ,Federal ,"Strategic plan to reposition mining as growth engine; identifies seven priority minerals, including lithium and niobium, 
and targets midstream processing and local value chains by 2025.","MMSD, NGSA, SMDF, MCO","Upstream
Midstream",Limited; mostly focused on investment rather than ESG,"Lmited execution, bureaucratic silo","Funding, lack of coordination among MDAs","Investors, MDAs, communities",High ,https://www.minesandsteel.gov.ng/wp-content/uploads/2016/09/Nigeria_Mining_Growth_Roadmap_Final.pdf,Ministry of Mines & Steel Development,December 2025
National Integrated Mineral Exploration Project (NIMEP),Geological Mapping & Exploration,Government Project,2018,In force ,Federal ,"NGSA-led programme to generate modern geophysical and geochemical data for priority minerals, including gold,
 PGM, nickel, chromium, cobolt, rare earth minerals, lead zinc, silver, copper, barite and iron ore resources in Nigeria.","NGSA, MMSD",Upstream,Data focused,"Data accessibility, data sovereignty issues",Funding gaps; incomplete coverage,"Investors, NGSA, state govts",Medium ,https://ngsa.gov.ng/nimep/,Nigeria Geological Survey Agency (NGSA),December 2025
National Environmental (Mining & Processing) Regulations (NESREA),Environmental & ESG,,2009,In force,Federal,"Environmental standards for mining operations covering waste, emissions, water, hazardous materials and rehabilitation.","NESREA, MMSD","Upstream
  Midstream","Pollution control, water quality, tailings safety","Weak enforcement, agency overlap with MMSD",Low capacity at state levels,"Communities, miners, regulators",High,,Regulation,December 2025
Artisanal and Small-Scale Mining (ASM) Formalisation Programme,ASM Governance,,2020,Active,Federal,"Programme to support formalisation, training, environmental management and licensing of ASM cooperatives; aims to reduce illegal mining and improve traceability.","MMSD, MCO, SMDF",Upstream,"Basic safety, environmental training, monitoring","Weak incentives for formalisation, corruption barriers",Resistance from informal operators,"ASM miners, communities, security agencies",High,,Programme,December 2025
NGSA Act,Geological Data Governance,,2006,In force,Federal,"Establishes NGSA’s mandate for geological mapping, exploration data generation, archival management and national geoscience database governance.",NGSA,Upstream,Indirect — enables risk assessment,Legacy colonial data not digitised; poor data access,Fragmented datasets,"Researchers, investors, states",Medium,,Legislation,December 2025
NEITI Implementation Framework,Transparency & Governance,,2007–present,Active,Federal,"Nigeria’s domestic implementation of the EITI Standard, requiring revenue reporting, licence register transparency, beneficial ownership disclosure and audits.",NEITI,"Upstream 
 Midstream","Governance, transparency, anti-corruption",Limited enforcement; political interference,Data gaps; non-compliance by companies,"Government, companies, civil society",High,,Governance Standard,December 2025
State Mining Policies & Mineral Development Companies,Subnational Mineral Governance,,2015–2024,Active/developing,State,"States have created mining development companies and local regulations to participate in joint ventures, regulate community agreements and support ASM cooperatives.",State Ministries of Solid Minerals,Upstream,"Community agreements, environmental monitoring","Federal–state conflicts, overlapping authority",Capacity gaps; unclear legal status,"States, communities, ASM",Medium,,Policy / Institutional Framework,December 2025
