State,Organisation,Stakeholder Type,Mandate,Value Chain Role,Jurisdiction,State/City,Summary Functions,Website 
Bauchi,Bauchi State Ministry of Solid Minerals Development,State Agency ,"Develop, regulate and manage Bauchi State’s solid mineral resources, including policy, investment promotion and sector governance.","State-level policy, regulation and investment coordination for minerals.",All solid mineral activities within Bauchi State.,"Bauchi, Bauchi State",Designs and implements solid minerals policy; supervises mining and quarrying; promotes investment and reforms; coordinates with federal agencies and communities.,https://monar.bauchistate.gov.ng/
Benue,"Ministry of Lands, Survey and Solid Minerals",State Agency ,"Oversee land administration, surveying and regulation of the solid minerals sector in Benue State.","Sector coordination, regulation and land/tenure support for mining.",Land and mineral activities in Benue State.,"Makurdi, Benue State",Allocates land for mining; regulates operations; supports sector planning and coordination; liaises with federal regulators and investors.,https://www.iambenue.com/benue-state/benue-state-ministries/lands-and-survey/
Cross River,Cross River State Ministry of Solid Minerals Development,State Agency ,"Manage, regulate and promote sustainable development of Cross River State’s mineral resources.","State-level policy, regulation and minerals sector governance.",Solid mineral operations within Cross River State.,"Calabar, Cross River State",Develops policies and regulations; supervises operators; supports investment promotion; coordinates environmental and regulatory compliance.,https://ipb.cr.gov.ng/solid-minerals-sector/
Ebonyi,Ebonyi State Ministry of Solid Minerals Development,State Agency ,"Administer, regulate and develop Ebonyi State’s solid mineral resources.","Regulation, sector planning and mineral development promotion.",Solid mineral activities within Ebonyi State.,"Abakaliki, Ebonyi State",Oversees mining and quarrying; manages state mineral agreements; promotes responsible exploitation; engages communities and investors.,https://ebonyistate.gov.ng/ministry/solid-mineral-and-development
Ekiti,"Office of Solid Mineral Resources, Ekiti State",State Agency ,Coordinate the development and regulation of Ekiti State’s solid mineral resources.,"Sector planning, investment facilitation and basic oversight.",Solid mineral activities within Ekiti State.,"Ado-Ekiti, Ekiti State",Identifies mineral occurrences; supports investors; coordinates with federal agencies; advises government on mineral-led development.,
Jigawa,"Ministry of Commerce, Industry and Solid Minerals",State Agency ,Drive industrial development and regulate solid mineral activities in Jigawa State.,Investment promotion and mineral value-chain development.,"Commerce, industry and solid mineral activities in Jigawa State.","Dutse, Jigawa State",Promotes mineral-linked industrial projects; supports investors; facilitates SME and value-chain development; coordinates compliance.,https://www.investjigawa.gov.ng/sectors/solid-minerals/
Kano,Kano State Ministry of Solid Minerals Resources,State Agency ,Manage and promote sustainable development of Kano State’s mineral resources.,State-level regulation and mineral sector economic planning.,Solid mineral resources in Kano State.,"Kano, Kano State",Maps opportunities; supervises operations; supports mineral-based SMEs; aligns mineral development with state economic goals.,
Kaduna,Kaduna State Ministry of Solid Minerals,State Agency ,Develop and implement mineral sector policy and support mineral-led economic activities in Kaduna State.,"Regulation, planning and investment facilitation.",Solid mineral activities in Kaduna State.,"Kaduna, Kaduna State",Coordinates licensing inputs; oversees mining activities; promotes value addition; engages communities and local government.,
Kebbi,Ministry of Solid Minerals Development and Mining,State Agency ,Oversee solid mineral development and mining activities in Kebbi State.,Regulation and investment facilitation across exploration and mining.,Mineral development and mining operations in Kebbi State.,"Birnin Kebbi, Kebbi State",Supervises mines and quarries; supports investors; coordinates environmental and regulatory compliance; promotes responsible mineral exploitation.,https://www.kebbistate.gov.ng/agencies-category/ministries
Kogi,Kogi State Ministry of Solid Minerals and Natural Resources,State Agency ,"Manage and develop Kogi State’s solid minerals and natural resources, including mapping and reserve estimation.","Resource assessment, sector planning and project facilitation.",Solid mineral operations in Kogi State.,"Lokoja, Kogi State",Conducts mapping and studies; guides mineral project development; supports investors; works with communities and federal regulators.,https://kogistate.gov.ng/federal-government-grants-kogi-state-15-mining-licenses-to-harness-mineral-resources/
Kwara,Kwara State Commission for Solid Minerals Development,State Agency ,"Promote, develop and manage the solid minerals sector in Kwara State.","Sector development, exploration support and investment promotion.",Solid mineral development across Kwara State.,"Ilorin, Kwara State",Identifies mineral opportunities; promotes investment; coordinates PPPs; supports local communities and state-backed mineral projects.,https://kwarastate.gov.ng/do-business/natural-resources/
Ogun,Ogun State Mineral Resources Development Agency,State Agency ,Manage and develop Ogun State’s mineral resources and ensure responsible mining.,"Resource management, data generation and oversight.",Mineral resources and operations in Ogun State.,"Abeokuta, Ogun State",Conducts geological surveys; maintains mineral data bank; supports responsible mining; coordinates with communities for inclusive development.,https://www.vanguardngr.com/2024/06/creation-of-mineral-resources-agency-best-interest-of-ogun-state-abiodun/
Taraba,"Bureau for Solid Minerals, Taraba State",State Agency ,"Regulate, promote and support exploration and sustainable development of Taraba State’s solid minerals.","Regulation, exploration oversight and sustainable development planning.",Solid mineral activities in Taraba State.,"Jalingo, Taraba State",Issues permits; supports exploration programmes; coordinates safeguards; promotes investment aligned with state priorities.,https://bsm.tr.gov.ng/
Niger,Niger State Ministry of Mineral Resources,State Agency ,"Manage the mineral sector in Niger State, tackle illegal mining and support investment attraction.","Regulation, governance and investment promotion.",Mineral resources and mining activities in Niger State.,"Minna, Niger State",Profiles miners; combats illegal mining; coordinates strategies to attract investors; collaborates with security agencies and federal regulators.,https://nigerstate.gov.ng/
Nasarawa,Nasarawa Investment & Development Agency (NASIDA),State Agency ,"Facilitate and coordinate investments in Nasarawa State, including PPPs and commercialisation of mineral assets.",Investment promotion and transaction facilitation.,Investment projects and PPPs in Nasarawa State.,"Lafia, Nasarawa State",Structures PPPs; markets investment opportunities; coordinates approvals; supports investors; commercialises mineral-linked state assets.,https://nasida.na.gov.ng/
Zamfara,"Zamfara State Ministry of Environment, Mines & Solid Minerals",State Agency ,Regulate environmental protection and solid mineral development in Zamfara State.,"Environmental governance, minerals oversight and compliance.","Environment, mines and solid minerals in Zamfara State.","Gusau, Zamfara State",Supervises mining with focus on environment and public health; coordinates remediation; supports formalisation and safer mining practices.,
Lagos,"Office of Mineral Resources, Ministry of Energy and Mineral Resources",State Agency ,Manage Lagos State’s energy and mineral resources and enforce environmental/resource standards.,"Energy and minerals policy, regulation and environmental oversight.",Energy and mineral activities in Lagos State.,"Ikeja, Lagos State",Plans and regulates energy and mineral resource use; enforces standards; coordinates with federal agencies; promotes sustainable mineral and energy projects.,
Oyo, Oyo State Ministry of Energy and Mineral Resources,State Agency ,"Responsible for formulating, coordinating and implementing policies on energy and mineral resources in Oyo State, including the development, regulation and sustainable management of mineral assets and energy resources. 
","Energy and minerals sector policy, regulation, investment facilitation and environmental oversight. 
",Energy and solid mineral activities within Oyo State,"Ibadan, Oyo State ",Develops and enforces state policies on energy and mineral resource management; supervises mining and quarrying operations; coordinates with federal agencies on licensing and compliance; supports investment in mineral and energy projects; ensures environmental and community safeguards; promotes sustainable resource exploitation to enhance state economic development.,https://energy.oyostate.gov.ng/
