S/No,Zone / State Office,Stakeholder Type,State/City,Notes,Office Address,MANDATE (Applies to all Zonal & State Mines Offices),VALUE CHAIN ROLE
1,North-Central Zonal Mines Office,MMSD Zonal Office,"Jos, Plateau State",HQ for North-Central oversight,"No. 2, Club Road. Jos, Plateau State","Enforce mining laws, operational standards, environmental obligations, and safety regulations under the Nigerian Minerals and Mining Act (2007).

Monitor and document mineral production from mine sites.

Regulate artisanal, small-scale and large-scale mining activities at state and zonal levels.

Conduct field inspections, audits, and compliance assessments across all mine/quarry operations.","Regulation & Compliance Enforcement

Mine Health & Safety Oversight

Environmental Monitoring

Production Verification & Data Collection

Field Operations / Day-to-Day Supervision

These offices implement federal mining regulations directly at state level."
2,North-East Zonal Mines Office,MMSD Zonal Office,"Maiduguri, Borno State",HQ for North-East oversight,"No. 2, Nursery Rd. Beside Lake Chad Hotel, Maiduguri. Borno State",,
3,North-West Zonal Mines Office,MMSD Zonal Office,"Kaduna, Kaduna State",HQ for North-West oversight,"No. 1 & 2, Aliu Makama Road. Barnawa, Kaduna State",,
4,South-West Zonal Mines Office,MMSD Zonal Office,"Ibadan, Oyo State",HQ for South-West oversight,"Federal Sec. Complex, Ikolaba P.M.B 5028, Ibadan. Oyo State.",,
5,South-South Zonal Mines Office,MMSD Zonal Office,"Benin City, Edo State",HQ for South-South oversight,"Federal Sec. Complex, Auchi-Benin Road, Aduwawa, Benin city, Edo State.",,
6,South-East Zonal Mines Office,MMSD State Office,"Enugu, Enugu State",HQ for South-East oversight,"No. 11, Leck Avenue, State Sec. Enugu, Enugu State.",,
7,Adamawa Mines Office,MMSD State Office,"Yola, Adamawa State",,"Federal Sec. Complex, Yola road, Yola, Adamawa State.",,
8,Akwa Ibom Mines Office,MMSD State Office,"Uyo, Akwa Ibom State",,"Federal Sec. Complex, Abak Road, Uyo, Akwa Ibom State.",,
9,Abia Mines Office,MMSD State Office,"Umuahia, Abia State",,"Plot 55 Government Station Layout, Ehimiri, Umuahia, Abia State",,
10,Anambra Mines Office,MMSD State Office,"Awka, Anambra State",,"No. 203, Zip Avenue, Amawbia Awka South, Opposite St. Augustine Anglican Church Umuokpu, Awka, Anambra State",,
11,Bauchi Mines Office,MMSD State Office,"Bauchi, Bauchi State",,"3rd floor, Federal Sec. Complex, P.M.B 0173, Bauchi, Bauchi State",,
