State,Organisation Name,Stakeholder Type,Company Size,Mineral Commodities,Value Chain Role,Website,Current Critical Mineral Project,Notes,
Nasarawa,Jiuling Lithium (Nigeria Project),Foreign Investor / Mining & Processing Company,Large,Lithium,"Exploration, mining and chemical processing (lithium carbonate plant)",,Developing a $200m lithium processing factory in Nasarawa LGA in partnership with Nasarawa State Government.,Focused on lithium ore-to-chemical processing for EV battery value chains.,
Nasarawa,Avatar New Energy Materials Nigeria Ltd,Foreign Investor / Processing Plant,Large,Lithium,Processing (concentrate upgrading and refining),,Operating a lithium processing plant in Lafia area to process locally mined lithium ore.,Part of new wave of Chinese-backed lithium processors in Nasarawa.,
Nasarawa,Canmax Technologies (Nigeria Lithium Project),Foreign Investor / Off-taker & Processor,Large,Lithium,"Off-take, processing and export",,Investing in Nigerian lithium supply and processing facilities across multiple states including Nasarawa.,Integrated into global battery materials supply chain.,
Kogi,Canmax / Chinese Lithium Consortia (Kogi Projects),Foreign Investor / JV,Large,Lithium,"Exploration, ASM off-take, processing/export",,Securing lithium pegmatite fields and ASM off-take agreements in parts of Kogi State.,Linked to larger Nigeria critical minerals investments.,
Kogi,Tree Mines Global,Nigerian Mining Company,Medium,"Gold, Lithium (early-stage)",Exploration and small-scale mining,https://treeminesglobal.com,Developing small-scale gold operations in Kabba-Bunu and exploring for lithium and other critical minerals in Kogi and Kwara States.,Important Nigerian-owned player linking ASM to formal markets.,
Oyo,Thor Explorations  (Lithium mining),Mining / Exploration,Medium,"Lithium, Gold",Exploration (greenfield),https://thorexpl.com,"Holder of ~600 km2 of lithium exploration tenure including parts of Oyo State, parallel to its Segilola gold success.",Targeting lithium-bearing pegmatites within the Nigerian Basement Complex.,
Ekiti,Thor Explorations ( Lithium), Mining / Exploration,Medium,Lithium,Exploration,https://thorexpl.com,Exploring lithium pegmatites in Ekiti State as part of its critical minerals strategy.,Builds on legacy of gemstone and pegmatite mining around Ijero-Ekiti.,
Kwara,Thor Explorations ( Lithium),Mining / Exploration,Medium,Lithium,Exploration,https://thorexpl.com,Part of a multi-state lithium exploration package spanning Kwara and neighbouring states.,Early-stage tenure around basement-hosted pegmatites.,
Kwara,Tree Mines Global,Nigerian Mining Company,Medium,"Gold, Critical Minerals",Exploration and medium-scale mining,https://treeminesglobal.com,Holds solid minerals properties in Kwara including gold and associated critical minerals.,Engages with women and local communities in its operations.,
Cross River,Various Chinese-backed Lithium & Pegmatite Operators,Foreign / Local JV Clusters,Small/Medium,"Lithium, Pegmatite minerals",Early-stage mining and export of pegmatite ores,,Clusters of pegmatite and lithium-bearing operations emerging in parts of Cross River State.,Often linked to informal/ASM supply chains with limited public corporate visibility.,
Plateau,Kelechi Minerals Nigeria Ltd,Nigerian Mining Company,Medium,"Lithium, Tin, Niobium (Coltan)",Exploration and early-stage mining,https://kelechimineralsltd.com,"Active across Kogi, Kwara, Nasarawa, Ekiti and Oyo with interests also extending into Plateau-linked belts; focuses on lithium and associated critical minerals.",Positions itself as a critical minerals champion for Nigeria’s energy transition.,
