Level/Scope,State/Region,Name of Organisation,Organisation Type,Mineral Focus,Formal/Informal,Mandate,Value Chain Role,Summary Functions
National,Nigeria,Miners Association of Nigeria (MAN),National ASM / industry association,"All minerals (ASM, small & medium-scale)",Formal,"Represent miners across Nigeria and advocate for enabling policies, better operating conditions and sector development.","Sector advocacy, coordination and representation of ASM and small-scale miners.","Acts as an umbrella body for miner cooperatives; engages government on policies, taxation and access to finance; provides a platform for dialogue between miners, government and communities."
National,Nigeria,Nigeria Artisanal and Small-Scale Miners Association (NASSMA),National ASM association,Artisanal and small-scale mining (all minerals),Formal,Organise and represent artisanal and small-scale miners across key mining states in Nigeria.,"ASM formalisation, representation and engagement with regulators and buyers.","Supports the formalisation of ASM; represents ASM interests before government; promotes safer, more productive mining practices and improved market access for small-scale miners."
National,Nigeria,Women in Mining in Nigeria (WIMIN),Gender-focused ASM and mining network,All minerals with strong ASM focus,Formal,"Promote womenâ€™s participation, rights and leadership in Nigeriaâ€™s mining and minerals sector, especially in ASM communities.","Gender inclusion, advocacy and capacity building within ASM and mining.","Organises women miners and traders into networks and cooperatives; delivers training on safety, business skills and rights; advocates for gender-responsive mining governance and community benefits."
National,Nigeria,Association of Women Miners in Nigeria (AWMN),Women miners association,"Gold and gemstones, plus other ASM minerals",Formal,Support women directly involved in artisanal and small-scale mining and mineral trading.,Organisation and empowerment of women miners along the ASM value chain.,"Provides a platform for women miners to access training, finance and markets; works with government and partners to improve safety, income and recognition of women in ASM."
National,Nigeria,Nigeria Gemstone Miners Cooperative Union,Commodity-specific ASM cooperative union,Gemstones,Formal,Organise gemstone miners into cooperatives and facilitate market access and improved practices.,"Cooperative organisation, marketing and basic value addition for gemstones.",Supports registration of gemstone cooperatives; negotiates better prices; promotes safer mining and basic processing; links miners to buyers in local and export markets.
National,Nigeria,Association of Small-Scale Quarry Operators of Nigeria,Quarry operators association,"Quarry products â€“ granite, laterite, sand etc.",Formal,Represent small-scale quarry operators and ensure fair regulation and sustainable operations.,Representation of small-scale quarrying within the broader ASM and construction value chain.,Engages with regulators on licensing and compliance; supports members on environmental and safety issues; advocates for infrastructure and fair levies for small quarries.
Multi-state,Kebbi/Zamfara/Kogi/Nasarawa,PAGMI Gold Cooperatives Network,Gold ASM cooperatives under PAGMI,Gold,Formal,Formalise artisanal gold miners into cooperatives under the Presidential Artisanal Gold Mining Development Initiative (PAGMI).,"ASM formalisation, responsible gold production and integration into formal value chains.",Organises gold miners into registered cooperatives; provides access to legal markets and official offtakers; promotes safer practices and better community and environmental outcomes.
State,Bauchi,Bauchi Mining Synergy and Exploration Limited (BAMSEL),State-owned mining company working with ASM,Mixed minerals (state portfolio),Formal,"Develop mineral resources on behalf of Bauchi State, including through partnerships with ASM cooperatives.","Project development, investment partnership and support for ASM-linked projects.",Carries out exploration and early-stage development; partners with cooperatives and private investors; helps integrate ASM areas into more structured projects.
State,Ekiti,Ijero-Ekiti Gemstone Miners Cooperative,Local ASM cooperative,Gemstones (tourmaline and others),Formal,Organise gemstone miners in the Ijero-Ekiti area into a cooperative for better regulation and market access.,"Local cooperative organisation, marketing and engagement with government.",Helps members obtain formal titles and permits; negotiates prices; supports safer and more coordinated mining and community relations.
State,Ekiti,Aramoko Small-Scale Miners Group,Local ASM group,Gemstones and other small-scale minerals,Informal,Provide a basic platform for small-scale miners around Aramoko to coordinate operations and negotiate with buyers.,"Informal coordination of ASM, basic market and logistics support.",Shares information on buyers and prices; organises informal rules for pit access and dispute resolution; serves as a contact point for government outreach.
State,Nasarawa,Karu Gemstone ASM Association,State-level ASM association,Gemstones,Formal,Represent artisanal gemstone miners operating around Karu and neighbouring areas of Nasarawa State.,"Representation, advocacy and basic self-regulation of gemstone ASM.",Engages with state and federal regulators; supports cooperative registration; promotes better environmental and safety practices among members.
State,Plateau,Jos Tin & Columbite Small-Scale Miners Cooperative,Cooperative of tin & columbite miners,"Tin, columbite and related minerals",Formal,Organise small-scale tin and columbite miners around Jos into a cooperative framework.,"Coordinated production, marketing and compliance support for small-scale tin mining.",Registers members; coordinates sales and pricing; engages on tailings management and safety; provides a collective voice in policy dialogues.
State,Plateau,Barkin Ladi Gemstone Miners Association,Local ASM association,Gemstones,Formal,Represent artisanal gemstone miners in Barkin Ladi LGA of Plateau State.,Representation and coordination of gemstone ASM at local level.,Links miners with buyers; supports conflict resolution; engages with local authorities on environmental and security issues.
State,Zamfara,Bagega Gold Miners Association,Local ASM miners association,Gold,Informal transitioning to formal,"Organise gold miners in Bagega area for improved safety, health and formalisation.",Cluster-level self-organisation and engagement with public health and regulatory programmes.,Acts as a focal point for health interventions and safer mining campaigns; helps move miners into cooperatives under government programmes.
State,Zamfara,Anka Small-Scale Miners Cooperative,Local miners cooperative,Gold,Formal,"Provide a formal structure for small-scale gold miners in and around Anka, Zamfara State.","Formal ASM cooperative structure for licensing, training and marketing.",Helps members obtain licences; coordinates sales to formal buyers; participates in government-supported programmes on safer mining and mercury reduction.
State,Taraba,Mambilla Plateau Gemstone Miners Cooperative,Local ASM cooperative,Gemstones,Formal,Organise artisanal gemstone miners on the Mambilla Plateau.,Cooperative organisation and marketing for gemstone ASM.,Coordinates mining activities; organises collective selling; supports community negotiations and basic environmental stewardship.
