Name of Institution,Acronym,Stakeholder Type,Mandate,Value Chain Role,Jurisdiction,Address,State/City,Website,Functions,Influence Level
The Ministry of Mines and Steels Development (MMSD),MMSD,Federal Government,"Formulate and implement national policies for solid minerals development, regulate and supervise the mining sector,
 and drive investment and value addition.","Policy leadership, regulation and strategic coordination across the mineral value chain.",Federal Republic of Nigeria,,Abuja (Federal Capital Territory),https://msmd.gov.ng/,"Sets policy and legal framework for mining; oversees regulatory agencies; coordinates reforms, federal–state relations and international cooperation in the minerals sector.",
Mining Cadastre Office (MCO),MCO,Federal Government,Administer and manage mineral titles in Nigeria through a transparent mining cadastre system.,"Administration of mineral rights, licensing and tenure management.",Nationwide mineral title coverage,,Abuja (with zonal offices countrywide),,"Processes applications for exploration and mining licences; maintains the digital cadastre; grants, renews and revokes titles; and provides tenure information to government and investors.",
Mines Inspectorate,MI,Federal Government,"Enforce mine health, safety and technical standards and monitor compliance with mining regulations.","Operational oversight, safety enforcement and production monitoring.",All licensed mine sites in Nigeria,,Abuja (with zonal and field offices),https://msmd.gov.ng/mines-inspectorate/,Inspects mine sites; investigates accidents and unsafe practices; verifies production data; and issues compliance directives and sanctions where necessary.,
Nigerian Geological Survey Agency (NGSA),NGSA,Federal Government,"Generate, store and disseminate geoscientific and mineral resource data for Nigeria.","Upstream geological mapping, resource identification and exploration support.",Entire national territory and offshore areas under Nigerian control,,Abuja (headquarters with field offices),,"Carries out geological, geochemical and geophysical surveys; produces maps and reports; identifies mineral targets; and provides geodata to government, investors and researchers.",
National Environmental Standards and Regulations Enforcement Agency (NESREA),NESREA,Federal Government,"Enforce environmental laws, regulations and standards (excluding upstream oil and gas) across Nigeria.","Environmental compliance, pollution control and enforcement in mining and processing.",Federal Republic of Nigeria (excluding upstream petroleum operations),,Abuja (with state field offices),,Monitors environmental performance of facilities; enforces EIAs and sector regulations; investigates complaints and imposes sanctions for non‑compliance in mining and related activities.,
Raw Materials Research and Development Council (RMRDC),RMRDC,Federal Government,"Promote research, development and utilisation of Nigeria’s raw materials for industrialisation.","Linking minerals to industry, processing and manufacturing value chains.",Nationwide raw materials and industrial sectors,,Abuja,,Conducts studies on industrial raw materials; advises government and industry on local sourcing; supports projects that upgrade and substitute imported raw materials using Nigerian minerals.,
,,,,,,,,,,
 Nigeria Extractive Industries Transparency Initiative (NEITI) ,NEITI,Federal Government,Promote transparency and accountability in the management of revenues from Nigeria’s extractive industries.,"Revenue transparency, governance and accountability across the value chain.",All extractive sectors and government entities handling extractive revenues in Nigeria,,Abuja,https://neiti.gov.ng/,"Produces independent reconciliation reports; discloses payments and revenues; engages government, companies and civil society to strengthen governance of the minerals sector.",
The Department of Mines Environmental Compliance (MEC),MEC,Federal Government,Oversee and coordinate environmental compliance obligations specific to mining operations under MMSD.,Sector‑specific environmental oversight within the mining value chain.,Mining and quarrying operations across Nigeria,,Abuja (with field presence through mines offices),https://msmd.gov.ng/mines-environment-compliance/,"Reviews and monitors mine environmental management plans; works with NESREA and state authorities on remediation, closure and reclamation issues.",
Artisanal & Small-Scale Mining,ASM,Federal Government,"Formalise, support and regulate artisanal and small‑scale mining activities in Nigeria.","ASM formalisation, support services and integration into the formal minerals economy.",Artisanal and small‑scale mining operators nationwide,,Abuja (with outreach through state and zonal offices),https://msmd.gov.ng/artisanal-small-scale-mining/,"Supports cooperatives and licensing of ASM; provides extension and technical assistance; and promotes safer, more environmentally responsible practices among small‑scale miners.",
"Solid Minerals Development Fund (SMDF)
",SMDF,Federal Government,Provide financing and catalytic investments to stimulate exploration and development of Nigeria’s solid minerals.,"Project finance, de‑risking exploration and supporting early‑stage development.",Eligible solid minerals projects across Nigeria,,Abuja,https://www.smdf.gov.ng/,"Invests in geoscience data, exploration and strategic projects; partners with private investors; and supports projects that enhance Nigeria’s mineral value addition.",
National Assembly Committee on Mines & Steel,,Federal Government,Exercise legislative oversight over the mines and steel sector and review relevant laws and budgets.,"Legislative oversight, law‑making and budget scrutiny for the minerals sector.",Federal legislative oversight across all mining institutions and programmes,,Abuja (National Assembly Complex),,Reviews and amends mining and minerals laws; oversees MMSD and its agencies; and approves sectoral budgets and key policy instruments.,
National Steel Raw Materials Exploration Agency (NSRMEA ),NSRMEA,Federal Government,Explore and evaluate raw materials required for the iron and steel industry in Nigeria.,"Upstream exploration for steel‑related minerals (iron ore, coal, limestone, etc.).",Prospective iron and steel raw material provinces across Nigeria,,"Kaduna, Kaduna State",,"Carries out geological exploration and evaluation of iron ore, coal and other inputs; supports planning and development of the domestic steel industry.",
