Organisation Name,Category,Thematic Focus,Scale,Location,Role in Mineral Value Chain / Governance,Website,Influence Level
CSR-in-Action,NGO/CSO,"Extractive governance, ESG, community relations",National,Nigeria (Lagos/Abuja),"Advocacy, community engagement and ESG advisory for extractive industries",https://www.linkedin.com/company/csrinaction/posts/?feedView=all,High
BudgIT,NGO,"Budget transparency, public finance, mining revenues",National,Nigeria (Lagos/Abuja),"Tracks public revenues and spending, including those from mining and oil & gas",https://www.budgit.org,High
NEITI-CSO Working Group,CSO Coalition,"Extractives transparency, EITI",National,Nigeria (Abuja),Civil society platform engaging with NEITI on extractives revenue transparency,https://neiti.gov.ng/,High
Centre for Transparency Advocacy (CTA),NGO,"Governance, elections, transparency",National,Nigeria (Abuja),Promotes transparency and accountability including in natural resource governance,https://www.ctransparency.org,Medium
Spaces for Change,NGO,"Environment, land & housing rights, displacement",National,Nigeria (Lagos),"Research and advocacy on land, environment and community rights in resource-rich areas",https://spacesforchange.org,High
Environmental Rights Action (ERA/FoEN),NGO,"Environmental justice, pollution, mining impacts",National,Nigeria (Benin City/Lagos),"Supports communities affected by extractive industries, campaigns on environmental justice",https://erafoen.org,High
Global Rights Nigeria,NGO,"Human rights in mining communities, ASM",National,Nigeria (Abuja),"Works with mining-affected communities on rights, security and governance of natural resources",https://globalrights.org/nigeria,High
Civil Society Legislative Advocacy Centre (CISLAC),NGO,"Anti-corruption, legislative advocacy",National,Nigeria (Abuja),Advocates for transparency and accountability in extractive sector laws and policies,https://www.cislac.org,High
Connected Development (CODE),NGO,"Open government, resource tracking, community monitoring",National,Nigeria (Abuja),Runs FollowTheMoney and other initiatives tracking resource flows and projects in communities,https://www.connecteddevelopment.org,High
"Africa Centre for Leadership, Strategy & Development (Centre LSD)",NGO,"Leadership, mining governance, climate",National,Nigeria (Abuja),"Implements programmes on mining governance, climate justice and leadership development",https://www.centrelsd.org,Medium
Extractive360,Media/CSO,Extractive sector journalism & advocacy,National,Nigeria (Lagos),Provides specialised reporting and analysis on mining and petroleum governance,https://extractive360.com,Medium
Human & Environmental Development Agenda (HEDA),NGO,"Anti-corruption, environmental governance",National,Nigeria (Lagos),Engages on corruption risks and environmental abuses in extractive industries,https://hedang.org,Medium
Women in Mining in Nigeria (WIMIN),NGO,"Gender inclusion, ASM, women’s rights",National,Nigeria (Abuja),"Organises women in mining, advocates for gender-responsive mining policies and supports women miners",https://wimng.org,High
Host Communities Network of Nigeria (HoCoN),NGO/Network,"Host community rights, environment",National,"Nigeria (Niger Delta focus, national reach)",Network advocating for the rights and benefits of communities hosting extractive projects,,Medium
AFRI-CIRD (African Centre for Innovative Research & Development),NGO,"Extractive governance, social accountability",Regional (North-West),Nigeria (Kano),Promotes transparency and citizen engagement in extractive sector governance,https://afri-cird.org,Medium
CEFSAN (Centre for Social Advancement & Development),NGO,"Community development, social inclusion",Regional (North-West),Nigeria (Kano),Works with communities on development and social justice including in resource-rich areas,,Medium
Environmental Rights Initiative of Nigeria (ERIN),NGO,Environment & community rights,National,Nigeria,Supports communities impacted by mining and other environmentally harmful activities,,Medium
PACT,International NGO,"ASM formalisation, responsible mining, child labour",Global / Nigeria presence,HQ: USA; projects in Nigeria,Implements artisanal and small-scale mining (ASM) improvement and child-labour reduction projects,https://www.pactworld.org,High
Solidaridad West Africa,International NGO,Responsible gold & minerals value chains,West Africa (incl. Nigeria),Regional office: Accra; Nigeria programmes,"Works on responsible gold supply chains, ESG standards and livelihoods",https://www.solidaridadnetwork.org,Medium
Oxfam in Nigeria,International NGO,"Resource justice, inequality, community rights",National,Nigeria (Abuja),Advocates for fair sharing of natural resource benefits and supports host communities,https://nigeria.oxfam.org,High
Natural Resource Governance Institute (NRGI),Think Tank/NGO,"Extractive governance, fiscal rules, contracts",Global / Africa,Regional office: Accra; Nigeria focus,"Provides research and technical assistance on governance of oil, gas and mining",https://resourcegovernance.org,High
Global Witness,International NGO,"Anti-corruption, illicit financial flows in extractives",Global,HQ: London; programs touching Nigeria,"Investigative advocacy on corruption, secrecy and environmental abuses in resource sectors",https://www.globalwitness.org,Medium
Heinrich Böll Foundation (HBF) – Abuja Office,Political Foundation/NGO,"Climate justice, gender, extractive governance",National / Regional,Nigeria (Abuja),"Supports civil society on environmental justice, energy transition and natural resource governance",https://ng.boell.org,Medium
Search for Common Ground (SFCG),International NGO,"Conflict transformation, resource conflict",Northern Nigeria focus,Nigeria (Abuja/Jos),Works on peacebuilding and conflict mitigation in areas including those affected by resource extraction,https://www.sfcg.org,Medium
International Alert,International NGO,"Conflict sensitivity, peace & security around resources",Global / Nigeria projects,HQ: London; projects in Nigeria,Supports conflict-sensitive approaches to natural resource projects,https://www.international-alert.org,Medium
Ziva Communities Initiative,NGO,"ASM formalisation, responsible mining, child labour",,,Focused on strengthening value chains within the agricultural and mining sector.,Ziva Community – Non Profit Organization,
