Organisation,Acronyms ,Stakeholder Type,Mandate,Value Chain Role,Jurisdiction,State/City,Summary Functions,,Website
Miners Association of Nigeria (MAN),MAN,Mining Association ,"National industry association representing miners across Nigeria; advocates for enabling policies, sector development and improved operating environment.","Sector advocacy, industry coordination, membership representation.",Nationwide (all mining operators).,"Abuja, FCT","Represents mining companies; engages government on policy reforms; supports mining business environment; provides platforms for dialogue between industry, government and communities.",,
Women in Mining in Nigeria (WIM),WIM NG,Mining Association ,"Promote gender inclusion, women’s participation and leadership in Nigeria’s mining sector; provide advocacy, training and empowerment for women in mining.","Gender inclusion, advocacy, capacity building.",Nationwide,"Abuja, FCT",Supports women miners; conducts training and advocacy; engages policymakers on gender-responsive mining governance; leads national campaigns for women’s representation.,,https://wimng.org/about-us/
Nigeria Indigenous Women in Mining and Natural Resources Organisation (NINWINRO),NINWINRO,Mining Association ,Advance participation and rights of indigenous women involved in mining and natural resource activities.,"Advocacy, community development, gender inclusion.",Nationwide indigenous communities.,"Abuja, FCT",Supports indigenous women in mining; drives advocacy on rights and inclusion; promotes safe and fair resource practices.,,
Nigerian Mining and Geosciences Society (NMGS),NMGS,Mining Association ,"Professional body for geoscientists, mining engineers and earth science professionals.","Professional development, technical standards, scientific research.",Nationwide,"Abuja, FCT",Promotes geoscience research; publishes journals; organises scientific conferences and training.,,https://nmgs.org.ng
Nigerian Society of Mining Engineers (NSME),NSME,Mining Association ,"Professional body promoting technical excellence, safety and industry development.","Engineering standards, capacity building, professional accreditation.",Nationwide,"Abuja, FCT","Provides training, technical guidance and certification; supports engineering best practices; advises government.",,https://nsme.org.ng/
Council of Nigerian Mining Engineers and Geoscientists (COMEG),COMEG,Mining Association ,Regulate and accredit mining and geoscience professionals in Nigeria.,"Accreditation, professional regulation, competency assurance.",Nationwide,"Abuja, FCT",Certifies and licenses professionals; enforces ethical and technical standards; accredits academic programmes.,,
Geological Society of Nigeria (GSN),GSN,Mining Association ,Professional society for geologists promoting earth science and resource development.,"Research, geological capacity building, professional exchange.",Nationwide,"Abuja, FCT",Organises conferences; supports geological fieldwork; publishes research.,,https://geosociety.com.ng/
Nigerian Association of Hydrogeologists (NAH),NAH,Mining Association ,Professional body dedicated to hydrogeology and groundwater management.,"Groundwater science, environmental monitoring, professional development.",Nationwide,"Abuja, FCT",Provides training; conducts groundwater studies; advises government on water resource management.,,https://nah-nigeria.org/#/
Nigerian Association for Engineering Geology (NAEG),NAEG,Mining Association ,Professional society for engineering geology and geotechnics.,"Technical standards, geotechnical expertise, professional development.",Nationwide,"Abuja, FCT",Provides training and field workshops; advances engineering geology practice; supports infrastructure and mining projects.,,https://naege.org/
Miners Association of Nigeria Youth Wing / Nigeria Youth in Mining,,Mining Association ,Youth-focused wing promoting youth participation and innovation in mining.,"Youth empowerment, skills development.",Nationwide,"Abuja, FCT",Mobilises youth; offers training; supports entrepreneurship and sector engagement.,,
"The Nigerian Association of Chambers of Commerce, Industry, Mines and Agriculture ",NACCIMA,Chamber of Commerce,Umbrella organisation representing business interests including mining.,"Business advocacy, investment promotion, coordination.",Nationwide,Lagos / Abuja,Engages government on economic policies; connects investors; promotes trade and mineral sector opportunities.,,https://chamberofmines.com.ng 
Nigerian Metallurgical Society (NMS),NMS,Mining Association ,Professional body for metallurgists promoting materials science and metallurgy research.,"Metallurgy, processing, research.",Nationwide,"Abuja, FCT",Promotes metallurgical research; supports steel and metals development; organises capacity-building programmes.,,
Society of Exploration Geophysicists (SEG) Nigeria Chapter,SEG Nigeria,Mining Association ,"Supports geophysics education, research and exploration applications.","Geophysics, exploration science, research.",Nationwide,Abuja / Lagos,Provides training; promotes innovation in exploration geoscience; connects academia and industry.,,
Society for Mining Metallurgy Exploration (SME) Africa/Nigeria,SME Nigeria,Mining Association ,"Supports mining engineering, metallurgy and global mining standards.","Technical excellence, training, global standards.",Regional/National,Abuja / Regional hubs,Delivers global-standard training; promotes best practices; links Nigerian professionals to global networks.,,https://www.smenet.org/
Nigerian Association for Engineering Geology and the Environment (NAEGE)-IAEG Nigeria Chapter,NAEGE,Mining Association ,Promotes engineering geology and environmental geoscience.,"Environmental geoscience, geotechnical practice.",Nationwide,"Abuja, FCT",Organises conferences; supports research; participates in global engineering geology initiatives.,,https://iaeg.info/event/3rd-iaeg-africa-regional-confernece/
Geological Society of Africa (GSAf),GSAf,Mining Association ,Pan-African society promoting Earth science across Africa.,"Continental research, collaboration, professional development.",Africa-wide,Africa (Nigeria membership nationwide),Promotes African geoscience research; organises continental conferences; supports collaboration on minerals and geoscience.,,gsafr.org
African Union African Minerals Development Centre (AMDC),AMDC,African Union Development Agency,"Supports AU states with policies on minerals governance, beneficiation and capacity building.","Mineral policy, governance, beneficiation.",Africa-wide,Addis Ababa / AU Member States,Provides technical assistance; supports reforms; promotes Africa’s mineral beneficiation agenda.,,
 Lagos State Dredgers' and Miners' Association,,Mining Association , Collection of legal  dredging and mining operators in Lagos,Mining and dredging ,Lagos,Lagos ,"Promoting safe and sustainable mineral resource management practices, ensuring that haulage operations i",,https://nairametrics.com/2025/01/26/lagos-govt-mandates-dredgers-miners-to-maintain-motorable-roads-leading-to-sites/
