Donor Name,Donor Type,Thematic Focus,Scale,Location,Role / Relevance to Mineral Value Chain & Governance,Website
World Bank,Multilateral Donor,"Mining governance, public finance, environment",Global,Washington DC; Nigeria Country Office (Abuja),"Finances governance reforms, environmental management and infrastructure relevant to mining and critical minerals",https://www.worldbank.org
African Development Bank (AfDB),Multilateral Development Bank,"Industrialisation, minerals & metals, infrastructure",Africa-wide,Abidjan; Nigeria Country Office,"Funds infrastructure, industrial projects and policy work related to mineral value chains and energy transition",https://www.afdb.org
United Nations Development Programme (UNDP),UN Agency / Donor,"Governance, climate, inclusive growth",Global,Nigeria Country Office (Abuja),"Supports governance, conflict prevention and livelihoods including in resource-rich regions",https://www.undp.org/nigeria
United Nations Industrial Development Organization (UNIDO),UN Agency / Donor,"Industrial development, cleaner production",Global,Regional office with Nigeria programmes,"Promotes mineral value addition, resource-efficient processing and SME upgrading",https://www.unido.org
United Nations Children’s Fund (UNICEF),UN Agency,"Child protection, education, WASH",Global,Nigeria Country Office (Abuja),Addresses child labour risks and social services in mining-affected communities,https://www.unicef.org/nigeria
International Labour Organization (ILO),UN Agency,"Decent work, elimination of child labour",Global,Nigeria programmes,Supports safe and decent work initiatives including in small-scale mining,https://www.ilo.org
International Finance Corporation (IFC),Multilateral Finance (Private Sector),Private investment in mining & infrastructure,Global,Nigeria Office (Lagos),"Finances private sector mining, infrastructure and value-chain projects",https://www.ifc.org
European Union (EU Delegation to Nigeria),Regional Multilateral Donor,"Governance, green transition, critical minerals","EU 
 Nigeria",Abuja,"Funds governance reforms, renewable energy and emerging green/critical minerals partnerships",https://www.eeas.europa.eu/delegations/nigeria_en
ECOWAS Commission,Regional Organisation,Regional mining & mineral resources policy,West Africa,Abuja,Develops regional mining frameworks and supports member states on harmonised policies,https://www.ecowas.int
"FCDO – UK Foreign, Commonwealth & Development Office",Bilateral Donor (UK),"Governance, anti-corruption, climate & energy","UK 
Nigeria","British High Commission, Abuja","Funds programmes on governance, resource transparency and just energy transition",https://www.gov.uk/world/organisations/foreign-commonwealth-development-office
USAID – United States Agency for International Development,Bilateral Donor (US),"Economic growth, governance, biodiversity, conflict","US 
Nigeria",USAID Nigeria (Abuja),Supports economic growth and governance in northern states including some mining regions,https://www.usaid.gov/nigeria
GIZ – Deutsche Gesellschaft für Internationale Zusammenarbeit,Bilateral Implementer (Germany),"Energy transition, climate, governance, skills","Germany 
Nigeria",GIZ Nigeria (Abuja),"Implements German-funded projects on renewable energy, climate, governance and skills relevant to green minerals",https://www.giz.de/en/worldwide/324.html
Global Affairs Canada,Bilateral Donor (Canada),"Gender equality, governance, natural resources","Canada 
Nigeria","High Commission of Canada, Abuja",Supports governance and gender-responsive programmes including those intersecting with mining and energy,https://www.international.gc.ca
Embassy of the Kingdom of the Netherlands,Bilateral Donor (Netherlands),"Sustainable value chains, human rights, agriculture","Netherlands 
Nigeria",Abuja,Engages on responsible supply chains and may support gold and agricultural-commodities governance,https://www.netherlandsandyou.nl/your-country-and-the-netherlands/nigeria
Agence Française de Développement (AFD),Bilateral Development Finance (France),"Infrastructure, climate, urban development","France 
 Nigeria",AFD Nigeria Office (Abuja),Finances infrastructure and climate-related projects with indirect links to mining and minerals,https://www.afd.fr
Japan International Cooperation Agency (JICA),Bilateral Development Agency (Japan),"Infrastructure, capacity building, science & technology","Japan 
 Nigeria",JICA Nigeria Office (Abuja),Supports infrastructure and human-capacity development that can underpin mineral sector development,https://www.jica.go.jp
Ford Foundation – West Africa Office,Philanthropic Foundation,"Inequality, natural resource governance, civic space",West Africa,"Lagos, Nigeria","Funds civil society working on extractive justice, inequality and climate",https://www.fordfoundation.org
Open Society Foundations (OSF),Philanthropic Foundation,"Democracy, human rights, transparency",Global,Regional programmes covering Nigeria,"Supports organisations working on transparency, governance and civic freedoms around extractives",https://www.opensocietyfoundations.org
MacArthur Foundation Nigeria,Philanthropic Foundation,"Anti-corruption, accountability, journalism","US 
 Nigeria",MacArthur Nigeria Office (Abuja),Funds anti-corruption work including watchdog journalism on resource governance,https://www.macfound.org
Rockefeller Foundation,Philanthropic Foundation,"Energy transition, climate resilience",Global,Programs in Africa including Nigeria,Supports initiatives on energy transition and resilience with potential intersections with critical minerals,https://www.rockefellerfoundation.org
Bill & Melinda Gates Foundation,Philanthropic Foundation,"Health, data, poverty reduction, governance",Global,Programs in Nigeria,"Finances governance and data initiatives that can indirectly support transparency in public spending, including resource revenues",https://www.gatesfoundation.org
Bloomberg Philanthropies,Philanthropic Foundation,"Clean energy, climate",Global,Programs touching sub-Saharan Africa,Supports clean energy and climate initiatives; potential partner on just transition agendas,https://www.bloomberg.org
