Name of Institution,Stakeholder Type,Level,Location,Programmes,Website,Value Chain Role
Federal University of Technology Akure (FUTA),Education,Federal,"Akure, Ondo State",Mining Engineering (Undergraduate); Metallurgical & Materials Engineering (Undergraduate); Applied Geology (Undergraduate & Postgraduate),https://www.futa.edu.ng,"Nigerian universities and polytechnics form the backbone of the mineral value chain by supplying skilled human capital, driving geological and metallurgical research, enabling mine development and mineral processing, supporting environmental governance, and providing innovation and technical services across exploration, extraction, beneficiation and downstream material application"
Federal University of Technology Minna (FUTMINNA),Education,Federal,"Minna, Niger State",Mining Engineering (Undergraduate); Metallurgical & Materials Engineering (Undergraduate); Geology (UG/PG),https://www.futminna.edu.ng,
University of Jos (UNIJOS),Education,Federal,"Jos, Plateau State",Mining Engineering (Undergraduate); Geology & Mining (UG/PG); Mineral Exploration (PG),https://www.unijos.edu.ng,
Ahmadu Bello University (ABU Zaria),Education,Federal,"Zaria, Kaduna State",Mining Engineering (Undergraduate); Metallurgical & Materials Engineering; Geology (UG/PG),https://www.abu.edu.ng,
University of Benin (UNIBEN),Education,Federal,"Benin City, Edo State",Mining Engineering; Metallurgical Engineering; Geology (UG/PG),https://www.uniben.edu,
University of Ilorin (UNILORIN),Education,Federal,"Ilorin, Kwara State",Materials & Metallurgical Engineering; Geology,https://www.unilorin.edu.ng,
University of Nigeria Nsukka (UNN),Education,Federal,"Nsukka, Enugu State",Metallurgical & Materials Engineering; Geology (UG/PG),https://www.unn.edu.ng,
Abubakar Tafawa Balewa University (ATBU Bauchi),Education,Federal,"Bauchi, Bauchi State",Mining Engineering; Metallurgical & Materials Engineering; Geology,https://www.atbu.edu.ng,
Nasarawa State University Keffi (NSUK),Education,State,"Keffi, Nasarawa State",Geology & Mining (UG/PG),https://www.nsuk.edu.ng,
Modibbo Adama University Yola (MAUTECH),Education,Federal,"Yola, Adamawa State",Geology; Mineral Resources Engineering (UG/PG),https://www.mautech.edu.ng,
Akwa Ibom State University (AKSU),Education,State,"Mkpat-Enin, Akwa Ibom",Geology; Applied Geophysics,https://www.aksu.edu.ng,
Delta State University (DELSU),Education,State,"Abraka, Delta State",Geology (UG/PG),https://www.delsu.edu.ng,
Kaduna State University (KASU),Education,State,"Kaduna, Kaduna State",Geology & Mineral Resources,https://www.kasu.edu.ng,
Ekiti State University (EKSU),Education,State,"Ado-Ekiti, Ekiti State",Geology,https://eksu.edu.ng,
Nigerian Institute of Mining and Geosciences (NIMG Jos),Education,Federal,"Jos, Plateau State",PGD Mining Engineering; PGD Mineral Exploration; Short Courses,https://www.nimg.edu.ng,
Federal Polytechnic Bida,Education,Federal,"Bida, Niger State",Mineral & Petroleum Resources Engineering; Minerals Exploration ND/HND,https://www.fedpolybida.edu.ng,
Federal Polytechnic Nasarawa,Education,Federal,"Nasarawa, Nasarawa State",Mineral Resources Engineering; Geological Technology,https://fedpolynas.edu.ng,
Kaduna Polytechnic (KADPOLY),Education,Federal,"Kaduna, Kaduna State",Mineral Resources Engineering; Geological Technology,https://kadunapoly.edu.ng,
Federal Polytechnic Ado-Ekiti,Education,Federal,"Ado-Ekiti, Ekiti State",Mineral Resources Engineering; Geological Technology,https://www.fedpolyado.edu.ng,
Plateau State Polytechnic Barkin Ladi,Education,State,"Barkin Ladi, Plateau State",Mineral & Petroleum Engineering Technology; Geological Technology,https://plapoly.edu.ng,
Yaba College of Technology (YABATECH),Education,Federal,"Yaba, Lagos State",Mineral & Petroleum Resources Engineering; Geological Engineering Technology,https://www.yabatech.edu.ng,
IMT Enugu,Education,State,"Enugu, Enugu State",Geological Technology,https://imt.edu.ng,
Federal Polytechnic Bauchi,Education,Federal,"Bauchi, Bauchi State",Mineral Resources Engineering; Geological Technology,https://fptb.edu.ng,
Kwara State Polytechnic,Education,State,"Ilorin, Kwara State",Mineral Resources Engineering,https://kwarastatepolytechnic.edu.ng,
Ogun State Institute of Technology,Education,State,"Igbesa, Ogun State",Geological Technology,https://ogitech.edu.ng,
University of Abuja (UNIABUJA),Education,Federal,"Abuja, FCT","Geology and Mining (Undergraduate)

B.Sc. Geology (Undergraduate)",https://uniabuja.edu.ng,
