Organisation Name,Stakeholder Type,Company Size,Location,Equipment/Services,Value Chain Role,Website,Summary,Current Projects/Presence
Shandong Xinhai Mining Technology & Equipment Inc.,Mining Equipment & EPC Infrastructure,Large,China / Africa Operations,"Processing plants, flotation systems, crushing/milling machinery","Mineral Processing
",https://www.xinhaimining.com,Turnkey mineral processing plant supplier active in Africa,Expanding EPC presence in Nigeria's lithium & gold sector
Bristol Scientific Nigeria Ltd,Mining Laboratory & Scientific Equipment Supplier,Medium,"Lagos, Nigeria","Assay instruments, geochemistry tools, scientific equipment", Laboratory Analysis,,"Supplies lab equipment to miners, universities, and geoscience labs",Supporting various exploration campaigns in Nigeria
Henan Hongxing Mining Machinery Co.,Mining Machinery Manufacturer,Large,"Henan, China","Crushers, ball mills, rotary kilns, beneficiation lines","Mining 
Crushing
Processing",https://www.hxjq.com,Major supplier of processing machinery to African miners,"Equipment used in tin, gold, quarrying & lithium operations in Nigeria"
"Liaoning Vasoar Co., Ltd",Processing Chemicals & Reagents Supplier,Medium,"Liaoning, China",Flotation chemicals & reagents,Processing and Beneficiation,,Supplies flotation chemicals to mineral processors,"Active in REE, lithium & columbite beneficiation"
Xugong Nigeria Company Limited (XCMG Nigeria),Heavy Mining Equipment Supplier,Large,"Lagos, Nigeria","Excavators, bulldozers, haulage trucks",Mining  and Infrastructure Equipment,,Nigerian branch of XCMG machinery,"Supplies machinery to lithium, quarry & coal miners in Nigeria"
Paranthaman Exporters (PMT Machines),Gem & Mineral Processing Machinery Manufacturer,Medium,"Tamil Nadu, India","Grinding mills, washing plants, gem processing machinery",Processing and  ASM Support,https://paranthamanexporters.com,Popular among ASM operators for small-scale processing plants,"Supports gold, precious stones & pegmatite processing"
Hebei Jinchangsheng Chemical Technology Co.,Processing Chemicals Supplier,Medium,"Hebei, China",Flotation chemicals & mineral reagents,Beneficiation and  Processing,,Chemical supplier for concentrators,Active in Nigeria via Lagos import channels
Rapidlink Resources Limited,Mining Equipment & Logistics Supplier,Medium,"Abuja, Nigeria","Processing machinery, testing equipment, logistics","Exploration, Processing  Logistics",,Supplies mining tools and equipment to public and private operators,"Supports lithium, gold & REE exploration companies"
Mantrac (Caterpillar),Heavy Equipment Distributor,Large,Lagos / Nationwide,"Caterpillar mining trucks, bulldozers, loaders","Mining 
Haulage & Fleet",https://www.mantracgroup.com,Nigeria's largest CAT distributor,"Widely used in quarrying, limestone & coal mining"
Julius Berger Mining Division,Mining & Infrastructure Contractor,Large,"Abuja, Nigeria","Quarry equipment, mine development, civil works","Infrastructure
 Mine Development",https://www.julius-berger.com,Provides heavy civil engineering & quarry services,Active in aggregates & mine access roads
Atlas Copco Nigeria,Drilling & Mining Equipment,Large,Lagos,"Exploration rigs, compressors, drilling consumables","Exploration 
Drilling Services",https://www.atlascopco.com,Key supplier of drilling equipment,"Used across gold, lithium & tin exploration"
Sandvik Mining & Rock Solutions,Mining Machinery,Large,Nigeria (via distributors),"Crushers, drill rigs, liners","Mining 
Processing/Crushing",https://www.rocktechnology.sandvik,Global mining OEM active through local partners,"Used in tin, columbite & quarry operations"
Boart Longyear,Exploration Drilling Equipment,Large,Global / Nigeria distributors,"Core drilling rigs, diamond bits",Exploration Core Drilling,https://www.boartlongyear.com,Major provider for exploration drilling firms,"Used in advanced lithium, gold & REE drilling"
