Belt Name,Minerals Category,States,Geological Notes
Basement Complex,Gold; Lithium; Pegmatites; Columbite-Tantalite; Gemstones; Feldspar; Quartz; Marble,Oyo; Osun; Ekiti; Ondo; Ogun; Kwara; Kogi; Niger; Kaduna; Kano; Katsina; Bauchi; Zamfara,"Precambrian crystalline basement rocks made up of gneisses, schists and granites. Hosts numerous gold-bearing quartz veins, lithium-bearing pegmatites, columbite-tantalite and gemstone deposits, forming the backbone of Nigeria solid minerals wealth."
Ilesha-Ife Schist Belt,Gold; Lithium-bearing Pegmatites; Gemstones,Osun; Ekiti,"Narrow,  trending schist belt within the Basement Complex. Contains auriferous quartz veins and pegmatites enriched in lithium, tourmaline and other gemstones; long history of hard rock and alluvial gold mining around Ilesha."
Kushaka Schist Belt,Gold; Quartz Veins; Tourmaline,Niger; Kaduna,PanAfrican schist belt comprising metasediments and metavolcanics intruded by granites. Gold occurs mainly in quartz veins along shear zones; associated alteration and tourmaline veining are common.
Anka Schist Belt,Gold; Lead-Zinc; Gemstones,Zamfara,"Schist belt in northwestern Basement Complex, famous for rich artisanal gold workings. Mineralisation is largely hosted in quartz veins within sheared metasediments, with subordinate Pb-Zn and gemstone occurrences."
Maru Schist Belt,Gold,Zamfara,Another PanAfrican schist belt with numerous gold‘bearing quartz veins and alluvial occurrences along streams. Historic colonial era gold mining district.
Zungeru-Minna Belt,Gold; Tantalite; Pegmatites,Niger,Schist gneiss belt containing gold bearing quartz veins and pegmatites mineralised in columbite tantalite. Structurally controlled mineralisation along major shear zones.
Birnin Gwari Schist Belt,Gold; Gemstones,Kaduna,Metasedimentary sequence with abundant quartz sulphide veins and artisanal gold workings. Considered one of the higher potential but underexplored gold belts in northâwestern Nigeria.
Younger Granite Ring Complexes (Jos Plateau),Tin; Columbite; Niobium; Tantalum; Wolframite; Rare Earth Elements (Monazite),Plateau; Bauchi; Kaduna; Niger; Nasarawa (marginal areas),"Jurassic anorogenic ring complex granites emplaced into the Basement Complex. Weathering and erosion of these granites produced the famous Jos tin fields with cassiterite columbite placers, and REE-bearing minerals such as monazite."
Benue Trough -Lower Sector,Lead-Zinc; Barite; Coal; Salt,Benue; Enugu; Ebonyi,Cretaceous sedimentary basin with fault-controlled Pb-Zn vein deposits and bedded barite. Also hosts coal seams and brine/salt deposits within marine and deltaic successions.
Benue Trough -Middle Sector,Lead-Zinc; Barite; Fluorite,Taraba; Adamawa,Continuation of the Benue rift basin. Mineralisation occurs in fracture controlled veins and stratabound bodies within Cretaceous sandstones and limestones; important barite and Pb-Zn districts.
Benue Trough -Upper Sector,Limestone; Coal; Gypsum; Potash (evaporites),Gombe; Borno; Yobe,"Northern part of the Benue-Chad Basin system, characterised by thick Cretaceous Tertiary sedimentary sequences containing limestone, coal seams and evaporitic gypsum/potash horizons."
Dahomey Basin,Bitumen; Limestone; Phosphate; Clays; Silica Sand,Lagos; Ogun; Ondo,"Coastal marginal basin composed of Cretaceous-Tertiary marine sediments. Hosts a world-class bitumen belt in Ogun-Ondo, as well as cement-grade limestone, phosphate and industrial clays."
Niger Delta Basin,Oil; Gas; Industrial Clays; Silica Sand,Rivers; Bayelsa; Delta; Akwa Ibom; Cross River,"Large Tertiary deltaic basin dominated by thick 
sequences of shale and sandstone. Globally significant petroleum province with associated industrial minerals, including glass-grade sand and clays."
